no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
282 PT1,LEBUHRAYA BANDAR CASSIA, ,,MUKIM 13,"DESIGN VILLAGE OUTLET MALL, PE LAND (PENANG) SDN.BHD. - 282 PT1, LEBUHRAYA BANDAR CASSIA, BATU KAWAN, SIMPANG AMPAT 14110 PULAU PINANG",,13,100.43700387,07,1679,"5.244643227382216, 100.4370038699988",12,BANDAR CASSIA,P.046 - BATU KAWAN,5.24464323,2,03,1,12,30017,1773532800000,SPS MUKIM 13,,N.18,POWERBEE SDN BHD,070313000,14,P.046,PE LAND (PENANG) SDN.BHD.,PULAU PINANG,N.18 - BUKIT TAMBUN,DESIGN VILLAGE OUTLET MALL,LA 12/1/16/1823 (D-EVCS),SPS,SEBERANG PERAI SELATAN,384,6/8/2025 - 5/8/2035,186,1,100.43700387000007,5.24464322700004
4170,SOLOK TEMBAGA GREEN LANE,SEK. 5,,GEORGE TOWN,"GREENLANE PARK, 4170,TMN TEMBAGA, SOLOK TEMBAGA GREEN LANE, GEORGETOWN 11600 PULAU PINANG",,2,100.29674322,07,1682,"5.388461878777304, 100.29674322214298",2,TAMAN TEMBAGA,P.051 - BUKIT GELUGOR,5.38846188,0,04,1,2,40108,1773532800000,DTL GEORGE TOWN SEK. 5,,N.32,POWERBEE SDN BHD,070444005,2,P.051,,PULAU PINANG,N.32 - SERI DELIMA,GREENLANE PARK (CONDOMINIUM),LA 12/1/16/1846 (D-EVCS),DTL,TIMOR LAUT,44,7/8/2025 - 6/8/2035,187,0,100.29674322200003,5.388461879000033
PT 1217,JALAN SERI TANJUNG PINANG,SEK. 1,,TANJONG PINANG,"PT 1217, JALAN SERI TANJUNG PINANG 1, TANJUNG TOKONG, 10470 PULAU PINANG",,1,100.31051979,07,1683,"5.458141064888557, 100.31051979139757",0,SERI TANJUNG PINANG,P.048 - BUKIT BENDERA,5.45814106,2,04,1,0,40109,1773532800000,DTL TANJONG PINANG SEK. 1,,N.22,POWERBEE SDN BHD,070448001,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,JAZZ SUITE HOTEL PENANG,LA 12/1/16/1895 (D-EVCS),DTL,TIMOR LAUT,60,27/8/2025 - 26/8/2035,188,1,100.31051979100005,5.4581410650000635
22,CHANGKAT SUNGAI ARA 6, ,,MUKIM 10,"SETIA PINNACLE CONDOMINIUM, 22, CHANGKAT SUNGAI ARA 6, SUNGAI ARA, 11900 BAYAN LEPAS, PULAU PINANG",,2,100.26439422,07,1684,"5.335756346932019, 100.26439422342965",2,SUNGAI ARA,P.053 - BALIK PULAU,5.33575635,0,05,1,2,50035,1773532800000,DBD MUKIM 10,,N.38,POWERBEE SDN BHD,070510000,2,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,SETIA PINNACLE CONDOMINIUM,LA 12/1/16/1852 (D-EVCS),DBD,BARAT DAYA,44,6/8/2025 - 5/8/2035,189,0,100.26439422300007,5.335756347000029
4,HILIR SUNGAI KLUANG 5, ,,MUKIM 12,"PLOT 103 & 104, KAWASAN INDUSTRI, BAYAN LEPAS FTZ, 11900 BAYAN LEPAS, PULAU PINANG",,2,100.28981568,07,1686,"5.306998520753418, 100.28981568025517",2,TAMAN INDUSTRI BAYAN LEPAS,P.052 - BAYAN BARU,5.30699852,0,05,1,2,50036,1773532800000,DBD MUKIM 12,,N.37,SAM MEERKAT (M) SDN BHD,070512000,2,P.052,PLOT 103 & 104,PULAU PINANG,N.37 - BATU MAUNG,SAM MEERKAT (M) SDN BHD,LA 12/1/16/1880 (D-EVCS),DBD,BARAT DAYA,44,28/8/2025 - 27/8/2035,190,0,100.28981568000006,5.3069985210000254
,JALAN ANGGUN, ,,MUKIM 13,"ANGGUN RESIDENCES, PLOT 3, JALAN ANGGUN, BANDAR CASSIA, MUKIM 13, 14110 SEBERANG PERAI SELATAN, PULAU PINANG",,3,100.43741495,07,1701,"5.245903460990543, 100.43741495062066",3,BANDAR CASSIA,P.046 - BATU KAWAN,5.24590346,0,03,1,3,30018,1773532800000,SPS MUKIM 13,,N.18,CHARGE N GO SDN BHD,070313000,3,P.046,PLOT 3,PULAU PINANG,N.18 - BUKIT TAMBUN,ANGGUN RESIDENCES,LA 12/1/16/1926 (D-EVCS),SPS,SEBERANG PERAI SELATAN,66,2/9/2025 - 1/9/2035,191,0,100.43741495100005,5.2459034610000685
"PARKING LOT 46, 47 & 48",LEBUH SUNGAI PINANG 1,SEK. 8,,GEORGE TOWN,"LEVEL 1, VISITOR PARKING, PARKING LOT 46, 47 & 48, 3 RESIDENCE, LEBUH SUNGAI PINANG 1, GEORGETOWN, PULAU PINANG",,3,100.32812121,07,1703,"5.398330313665804, 100.32812120592577",3,SUNGAI PINANG,P.050 - JELUTONG,5.39833031,0,04,1,3,40110,1773532800000,DTL GEORGE TOWN SEK. 8,,N.30,CHARGE N GO SDN BHD,070444008,3,P.050,VISITOR PARKING LEVEL 1,PULAU PINANG,N.30 - SUNGAI PINANG,3 RESIDENCE,LA 12/1/16/1858 (D-EVCS),DTL,TIMOR LAUT,66,2/9/2025 - 1/9/2035,192,0,100.32812120600005,5.39833031400002
,PERSIARAN HALIA 3, ,,MUKIM 18,"MONT RESIDENCE, PERSIARAN HALIA 3, 10470 GEORGE TOWN, PULAU PINANG",,4,100.29769359,07,1711,"5.447012782348111, 100.29769358753428",4,MOUNT ERSKINE,P.048 - BUKIT BENDERA,5.44701278,0,04,1,4,40111,1773532800000,DTL MUKIM 18,,N.24,CHARGEHERE EV SOLUTION SDN BHD,070406000,4,P.048,,PULAU PINANG,N.24 - KEBUN BUNGA,MONT RESIDENCE,LA 12/1/16/1982 (D-EVCS),DTL,TIMOR LAUT,44,22/9/2025 - 21/9/2035,193,0,100.29769358800007,5.4470127820000585
118,JALAN SERI TANJUNG PINANG 1,SEK. 1,,TANJONG TOKONG,"THE BREZZA CONDOMINIUM, BLOCK A, LOT 18 & LOT 19, 118, JALAN SERI TANJUNG PINANG 1, SERI TANJUNG PINANG, 10470 TANJUNG TOKONG, PULAU PINANG",,2,100.30733487,07,1714,"5.45362463932175, 100.30733486627531",0,SERI TANJUNG PINANG,P.048 - BUKIT BENDERA,5.45362464,4,04,1,0,40112,1773532800000,DTL TANJONG TOKONG SEK. 1,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070447001,4,P.048," LOT 18 & LOT 19, BLOCK A",PULAU PINANG,N.22 - TANJONG BUNGA,THE BREZZA CONDOMINIUM,LA 12/1/16/1953 (D-EVCS),DTL,TIMOR LAUT,80,22/9/2025 - 21/9/2035,194,2,100.30733486600008,5.453624639000054
,JALAN SEPOY LINES,SEK. 3,,GEORGE TOWN,JALAN SEPOY LINES (BERHADAPAN TANDAS AWAM MBPP) BANDAR GEORGETOWN TIMOR LAUT 10450 PULAU PINANG,,2,100.30699667,07,1727,"5.4194943362172525, 100.30699667316186",0,(SEBEHLAH PADANG POLO),P.048 - BUKIT BENDERA,5.41949434,2,04,1,0,40113,1773532800000,DTL GEORGE TOWN SEK. 3,,N.25,GENTARI GREEN MOBILITY SDN. BHD.,070444003,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,(BERHADAPAN TANDAS AWAM MBPP),LA 12/1/16/1911 (D-EVCS),DTL,TIMOR LAUT,120,19/9/2025 - 18/9/2035,195,2,100.30699667300007,5.419494336000071
NO. 1,JALAN BOREALIS 4, ,,MUKIM 13,"STARBUCKS ECO HORIZON, NO. 1, JLN BOREALIS 4, PUSAT KOMERSIAL BOREALIS, SIMPANG AMPAT, 14110 PULAU PINANG",,2,100.44400776,07,1732,"5.236542617881459, 100.44400775548193",2,PUSAT KOMERSIAL BOREALIS,P.046 - BATU KAWAN,5.23654262,0,03,1,2,30019,1773532800000,SPS MUKIM 13,,N.18,GREEN EV CHARGE SDN BHD,070313000,2,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,STARBUCKS ECO HORIZON,LA 12/1/16/1947 (D-EVCS),SPS,SEBERANG PERAI SELATAN,44,29/9/2025 - 28/9/2035,196,0,100.44400775500009,5.236542618000044
LOT 987 & 988,JALAN SUNGAI RUSA, ,,MUKIM 4,"STARBUCKS BOTANICA DT, LOT 987 & 988, JALAN SUNGAI RUSA, MUKIM 4, 11000 BALIK PULAU, PULAU PINANG",,1,100.21695374,07,1736,"5.369226072427736, 100.2169537389508",0,BANDAR BARU AIR PUTIH,P.053 - BALIK PULAU,5.36922607,2,05,1,0,50037,1773532800000,DBD MUKIM 4,,N.39,GREEN EV CHARGE SDN BHD,070504000,2,P.053,,PULAU PINANG,N.39 - PULAU BETONG,STARBUCKS BOTANICA DT,LA 12/1/16/1964 (D-EVCS),DBD,BARAT DAYA,60,29/9/2025 - 28/9/2035,197,1,100.21695373900008,5.36922607200006
183,JALAN MAGAZINE,SEK. 11(w),,GEORGE TOWN,"183, JALAN MAGAZINE GEORGETOWN PULAU PINANG 10300 PULAU PINANG",,1,100.32992818,07,1750,"5.413191597525125, 100.32992817517791",0,,P.049 - TANJONG,5.4131916,2,04,1,0,40114,1773532800000,DTL GEORGE TOWN SEK. 11(w),,N.27,SALIENT GLORY CITY SDN BHD,070444026,2,P.049,,PULAU PINANG,N.27 - PENGKALAN KOTA,ST. GILES WEMBLEY PENANG HOTEL,LA 12/1/16/1956 (D-EVCS),DTL,TIMOR LAUT,47,18/9/2035 - 17/9/2035,198,1,100.32992817500008,5.413191598000026
,JALAN SAGA JAYA 3, ,,MUKIM 6,"BYD IROLL EV 4S CENTRE, LOT 4053, JALAN SAGA JAYA 3, MUKIM 6, TAMAN PERINDUSTRIAN SAGA JAYA, 13600 SEBERANG PERAI TENGAH, PULAU PINANG",,2,100.41302647,07,1752,"5.357441144536396, 100.41302647028625",0,TAMAN PERINDUSTRIAN SAGA JAYA,P.046 - BATU KAWAN,5.35744114,4,01,1,0,10017,1773532800000,SPT MUKIM 6,,N.17,SETIA JUTARIA SDN. BHD.,070106000,4,P.046,LOT 4053,PULAU PINANG,N.17 - BUKIT TENGAH,BYD JURU 4S - IROLL EV,LA 12/1/16/1962 (D-EVCS),SPT,SEBERANG PERAI TENGAH,240,19/9/2025 - 18/9/2035,199,2,100.41302647000003,5.3574411450000525
,LEBUHRAYA KAMPUNG JAWA, ,,MUKIM 12,"BANGUNAN TNB PRCC, KAWASAN PERINDUSTRIAN BAYAN LEPAS, 11900 BAYAN LEPAS, PULAU PINANG",,1,100.29562722,07,1756,"5.315933436443206, 100.29562722339426",0,KAWASAN PERINDUSTRIAN BAYAN LEPAS,P.052 - BAYAN BARU,5.31593344,5,05,1,0,50038,1773532800000,DBD MUKIM 12,,N.36,TNBX SDN. BHD.,070512000,5,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,BANGUNAN TNB PRCC,LA 12/1/16/1935 (D-EVCS),DBD,BARAT DAYA,400,19/9/2025 - 18/9/2035,200,1,100.29562722300005,5.315933436000023
,JALAN TREM,SEK. 3,,GEORGE TOWN,"YARD TNB LORONG KULIT, JALAN TREM, JLN TRAMWAY, 10460 GEORGETOWN, PULAU PINANG",,1,100.3122377,07,1759,"5.412824134599802, 100.31223770231921",0,,P.050 - JELUTONG,5.41282413,4,04,1,0,40115,1773532800000,DTL GEORGE TOWN SEK. 3,,N.29,TNBX SDN. BHD.,070444003,4,P.050,,PULAU PINANG,N.29 - DATOK KERAMAT,YARD TNB LORONG KULIT,LA 12/1/16/1960 (D-EVCS),DTL,TIMOR LAUT,240,19/9/2025 - 18/9/2035,201,1,100.31223770200006,5.412824135000051
LOT 2583,JALAN TANJONG TOKONG,SEK. 1,,GEORGE TOWN,"MARINA BAY CONDOMINIUM (BLOCK A), VISITOR PARKING LOT A55 & A56, LOT 2583, JALAN TANJONG TOKONG, GEORGE TOWN, 10470 TIMOR LAUT, PULAU PINANG",,4,100.3067725,07,1768,"5.4431243208628475, 100.30677250256252",4,TANJONG TOKONG,P.048 - BUKIT BENDERA,5.44312432,0,04,1,4,40116,1773532800000,DTL GEORGE TOWN SEK. 1,,N.25,CHARGE N GO SDN BHD,070444001,4,P.048,VISITOR PARKING LOT A55 & A56,PULAU PINANG,N.25 - PULAU TIKUS,MARINA BAY CONDOMINIUM (BLOCK A),LA 12/1/16/1913 (D-EVCS),DTL,TIMOR LAUT,88,7/10/2025 - 6/10/2035,202,0,100.30677250300005,5.4431243210000275
,PERSIARAN CASSIA BARAT 6, ,,MUKIM 13,"VERTU RESORT CONDOMINIUM, PERSIARAN CASSIA BARAT 6, 14110 SIMPANG AMPAT, PULAU PINANG",,5,100.43765287,07,1773,"5.238021223319259, 100.43765286936649",5,BANDAR CASSIA,P.046 - BATU KAWAN,5.23802122,0,03,1,5,30020,1773532800000,SPS MUKIM 13,,N.18,CHARGEHERE EV SOLUTION SDN BHD,070313000,5,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,VERTU RESORT CONDOMINIUM,LA 12/1/16/2003 (D-EVCS),SPS,SEBERANG PERAI SELATAN,54,9/10/2025 - 8/10/2035,203,0,100.43765286900003,5.2380212230000325
,JALAN HARBOUR PLACE,SEK. 4,,BUTTERWORTH,"LUMINARI RESIDENCE, JALAN HARBOUR PLACE, KAMPUNG BAGAN DALAM, BUTTERWORTH, 12100 PULAU PINANG",,3,100.37307683,07,1774,"5.397301298908989, 100.37307682678603",2,KAMPUNG BAGAN DALAM,P.043 - BAGAN,5.3973013,2,02,1,2,20009,1773532800000,SPU BUTTERWORTH SEK. 4,,N.09,CHARGEHERE EV SOLUTION SDN BHD,070240004,4,P.043,,PULAU PINANG,N.09 - BAGAN DALAM,LUMINARI RESIDENCE,LA 12/1/16/2010 (D-EVCS),SPU,SEBERANG PERAI UTARA,84,9/10/2025 - 8/10/2035,204,1,100.37307682700003,5.397301299000048
28,JALAN TELUK KUMBAR, ,,MUKIM 9,"LEXIS SUITES PENANG, 28, JALAN TELUK KUMBAR, 11920 BAYAN LEPAS, PULAU PINANG",,3,100.23269902,07,1777,"5.2872345064510125, 100.23269901577068",2,KAMPUNG TELUK KUMBAR,P.053 - BALIK PULAU,5.28723451,2,05,1,2,50032,1773532800000,DBD MUKIM 9,,N.38,CHARGEHERE EV SOLUTION SDN BHD,070509000,4,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,LEXIS SUITES PENANG,LA 12/1/16/2066 (D-EVCS),DBD,BARAT DAYA,84,27/10/2025 - 26/10/2035,205,1,100.23269901600008,5.287234506000061
,GERBANG BUKIT KECIL 2, ,,MUKIM 12,"NOVUS RESIDENCES, GERBANG BUKIT KECIL 2, 11900 BAYAN LEPAS, PULAU PINANG",,1,100.29864803,07,1779,"5.33227323279323, 100.29864803361178",0,KRYSTAL POINT CORPORATE PARK,P.052 - BAYAN BARU,5.33227323,2,05,1,0,50029,1773532800000,DBD MUKIM 12,,N.36,CHARGEHERE EV SOLUTION SDN BHD,070512000,2,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,NOVUS RESIDENCES,LA 12/1/16/2015 (D-EVCS),DBD,BARAT DAYA,40,9/10/2025 - 8/10/2035,206,1,100.29864803400005,5.3322732330000235
,TINGKAT ECO MEADOWS 1, ,,MUKIM 14,"ECO BLOOM CONDOMINIUM, TINGKAT ECO MEADOWS 1, 14100 SIMPANG AMPAT, PULAU PINANG",,2,100.469122,07,1783,"5.2588326809623505, 100.46912200292327",1,ECO MEADOWS,P.046 - BATU KAWAN,5.25883268,2,03,1,1,30008,1773532800000,SPS MUKIM 14,,N.18,CHARGEHERE EV SOLUTION SDN BHD,070314000,3,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,ECO BLOOM CONDOMINIUM,LA 12/1/16/2069 (D-EVCS),SPS,SEBERANG PERAI SELATAN,51,27/10/2025 - 26/10/2035,207,1,100.46912200300005,5.258832681000058
22,JALAN SULTAN AHMAD SHAH,SEK. 14,,GEORGE TOWN,"CYCLE & CARRIAGE GEORGETOWN, 22, JALAN SULTAN AHMAD SHAH, 10050 GEORGETOWN, PULAU PINANG",,1,100.33417418,07,1787,"5.422926929691867, 100.33417418310911",1,,P.049 - TANJONG,5.42292693,1,04,1,1,40117,1773532800000,DTL GEORGE TOWN SEK. 14,,N.26,CYCLE & CARRIAGE BINTANG BERHAD,070444014,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,CYCLE & CARRIAGE GEORGETOWN,LA 12/1/16/1974 (D-EVCS),DTL,TIMOR LAUT,22,23/10/2025 - 22/10/2035,208,0,100.33417418300007,5.422926930000074
,JALAN TUN SYED BARAKBAH,SEK. 19,,GEORGE TOWN,"JALAN TUN SYED BARAKBAH (HADAPAN DEWAN SRI PINANG), BANDAR GEORGETOWN, 10450 TIMOR LAUT, PULAU PINANG",,1,100.34044552,07,1800,"5.422245865903153, 100.3404455206959",0,,P.049 - TANJONG,5.42224587,2,04,1,0,40118,1773532800000,DTL GEORGE TOWN SEK. 19,,N.26,GENTARI GREEN MOBILITY SDN. BHD.,070444019,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,(HADAPAN DEWAN SRI PINANG),LA 12/1/16/1988 (D-EVCS),DTL,TIMOR LAUT,60,22/10/2025 - 21/10/2035,209,1,100.34044552100005,5.422245866000026
LOT 1241,JALAN SULTAN AZLAN SHAH, ,,MUKIM 12,"PETRONAS BAYAN BARU, LOT 1241, JALAN SULTAN AZLAN SHAH, MUKIM 12, BARAT DAYA, 11900 PULAU PINANG",,3,100.29442353,07,1801,"5.3290778559441945, 100.29442353376638",0,BAYAN BARU,P.052 - BAYAN BARU,5.32907786,6,05,1,0,50026,1773532800000,DBD MUKIM 12,,N.36,GENTARI GREEN MOBILITY SDN. BHD.,070512000,6,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,PETRONAS BAYAN BARU,LA 12/1/16/2062 (D-EVCS),DBD,BARAT DAYA,540,29/10/2025 - 28/10/2035,210,3,100.29442353400003,5.329077856000026
170,JALAN ARGYLL,SEK. 14,,GEORGE TOWN,"PARKING LOT, MENARA LIVINGSTON, 170, JALAN ARGYLL, 10050 GEORGE TOWN, PULAU PINANG",,5,100.32976962,07,1811,"5.422220159306376, 100.32976961901507",5,,P.049 - TANJONG,5.42222016,0,04,1,5,40119,1773532800000,DTL GEORGE TOWN SEK. 14,,N.26,GREENERGY EV SDN BHD,070444014,5,P.049,PARKING LOT,PULAU PINANG,N.26 - PADANG KOTA,MENARA LIVINGSTON,LA 12/1/16/2014 (D-EVCS),DTL,TIMOR LAUT,47,16/10/2025 - 15/10/2035,211,0,100.32976961900005,5.422220159000062
7006 MK 6,JALAN KUBANG MENDERUNG, ,,MUKIM 6,"7006 MK 6, (PASARAYA MYDIN), JLN BERTAM, 13200 KEPALA BATAS, PULAU PINANG",,1,100.47821162,07,1821,"5.519463843817478, 100.47821162115844",0,BANBAR PUTRA BERTAM,P.041 - KEPALA BATAS,5.51946384,2,02,1,0,20010,1773532800000,SPU MUKIM 6,,N.03,POWERBEE SDN BHD,070206000,2,P.041,,PULAU PINANG,N.03 - PINANG TUNGGAL,PASARAYA MYDIN,LA 12/1/16/1998 (D-EVCS),SPU,SEBERANG PERAI UTARA,47,8/10/2025 - 7/10/2035,212,1,100.47821162100007,5.519463844000029
LOT 776,LEBUH TUNKU KUDIN 3,SEK. 4,,JELUTONG,"VISITOR PARKING B2 (LOT 18 & 19), PERBADANAN PENGURUSAN PEARL REGENCY, LOT 776, LEBUH TUNKU KUDIN 3, BANDAR JELUTONG, TIMOR LAUT, 11700 GELUGOR, PULAU PINANG",,2,100.31435993,07,1840,"5.3788526133279015, 100.31435992933602",2,,P.051 - BUKIT GELUGOR,5.37885261,0,04,1,2,40120,1773532800000,DTL JELUTONG SEK. 4,,N.32,CHARGE N GO SDN BHD,070445004,2,P.051,VISITOR PARKING B2 (LOT 18 & 19),PULAU PINANG,N.32 - SERI DELIMA,PEARL REGENCY (PERBADANAN PENGURUSAN),LA 12/1/16/1991 (D-EVCS),DTL,TIMOR LAUT,44,6/11/2025 - 5/11/2035,213,0,100.31435992900003,5.378852613000049
9,JALAN MOULMEIN,SEK. 4,,GEORGE TOWN,"MOULMEIN RISE (LUXURY SUITES) - PARKING (LEVEL 4), 9, JALAN MOULMEIN, PULAU TIKUS, 10350 GEORGETOWN, PULAU PINANG",,4,100.31264634,07,1848,"5.4291625568972135, 100.31264634297214",4,PULAU TIKUS,P.048 - BUKIT BENDERA,5.42916256,0,04,1,4,40121,1773532800000,DTL GEORGE TOWN SEK. 4,,N.25,GREENERGY EV SDN BHD,070444004,4,P.048,PARKING (LEVEL 4),PULAU PINANG,N.25 - PULAU TIKUS,MOULMEIN RISE (LUXURY SUITES),LA 12/1/16/1938 (D-EVCS),DTL,TIMOR LAUT,44,3/11/2025 - 2/11/2035,214,0,100.31264634300004,5.429162557000041
PLOT 22E,JALAN PSPN 3, ,,MUKIM 13,"LEM MALAYSIA, PLOT 22E, JLN PSPN 3, PENANG SCIENCE PARK NORTH, MUKIM 13, 14100 SEBERANG PERAI TENGAH, PULAU PINANG",,2,100.43720421,07,1853,"5.303884686514235, 100.43720420761274",2,PENANG SCIENCE PARK NORTH,P.046 - BATU KAWAN,5.30388469,0,01,1,2,10014,1773532800000,SPT MUKIM 13,,N.17,RECHARGE XOLUTIONS SDN BHD,070113000,2,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,LEM MALAYSIA,LA 12/1/16/1958 (D-EVCS),SPT,SEBERANG PERAI TENGAH,44,12/11/2025 - 11/11/2035,215,0,100.43720420800008,5.30388468700005
1684,JALAN PERUSAHAAN, ,,MUKIM 11,"1684, JALAN PERUSAHAAN, AUTO-CITY, 13600 PERAI, PULAU PINANG",,3,100.42955645,07,1860,"5.337818784623836, 100.42955645074204",3,AUTO-CITY,P.046 - BATU KAWAN,5.33781878,0,01,1,3,10008,1773532800000,SPT MUKIM 11,,N.17,CARRO RETAIL SDN. BHD.,070111000,3,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,CARRO (FOMERLY MYTUKAR),LA 12/1/16/2123 (D-EVCS),SPT,SEBERANG PERAI TENGAH,66,4/12/2025 - 3/12/2035,216,0,100.42955645100005,5.3378187850000245
1, JALAN PERDA BARAT, ,,MUKIM 7,"WISMA TNB PERDA, 1, JALAN PERDA BARAT, BANDAR PERDA,14000 BUKIT MERTAJAM, PULAU PINANG",,1,100.43501391,07,1890,"5.365738631170353, 100.43501390546517",0,BANDAR PERDA,P.044 - PERMATANG PAUH,5.36573863,4,01,1,0,10003,1773532800000,SPT MUKIM 7,,N.10,TNBX SDN. BHD.,070107000,4,P.044,,PULAU PINANG,N.10 - SEBERANG JAYA,WISMA TNB PERDA,LA 12/1/16/2136 (D-EVCS),SPT,SEBERANG PERAI TENGAH,240,24/12/2025 - 23/12/2035,217,1,100.43501390500006,5.365738631000056
LOT 2137,JALAN PANGKOR,SEK. 1,,GEORGE TOWN,"SRI PANGKOR CONDOMINIUM, LOT 2137, SEKSYEN 4, BANDAR GEORGE TOWN, 10050 TIMOR LAUT, PULAU PINANG",,3,100.31974994,07,1900,"5.428040475737852, 100.31974994290387",0,KAMPUNG SYED,P.048 - BUKIT BENDERA,5.42804048,3,04,1,3,40122,1776297600000,DTL BATU FERRINGGI SEK. 1,,N.25,BLH ECOENERGY SDN BHD,070441001,3,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,SRI PANGKOR CONDOMINIUM,LA 12/1/16/2138 (D-EVCS),DTL,TIMOR LAUT,66,27/1/2026 - 26/1/2036,218,0,100.31974994300003,5.428040476000035
2B-01-05,JALAN BATU UBAN,SEK. 1,,GELUGOR,"E-PARK CONDOMINIUM, JALAN BATU UBAN, CENTURY GARDEN, 11700 GELUGOR, PULAU PINANG",,2,100.30835601,07,1906,"5.350835591181153, 100.30835601398357",0,CENTURY GARDEN,P.052 - BAYAN BARU,5.35083559,2,04,1,2,40093,1776297600000,DTL BATU FERRINGGI SEK. 1,,N.35,CHARGE N GO SDN BHD,070441001,2,P.052,,PULAU PINANG,N.35 - BATU UBAN,E-PARK CONDOMINIUM,LA 12/1/16/2036 (D-EVCS),DTL,TIMOR LAUT,44,9/1/2026 - 8/1/2036,219,0,100.30835601400008,5.3508355910000205
,OFF SOLOK LENGGONG,SEK. 1,,JELUTONG,"EVCS TLK 36-44, JALAN PERAK OFF SOLOK LENGGONG, BANDAR JELUTONG, 11600 TIMOR LAUT, PULAU PINANG",,2,100.31469871,07,1932,"5.394758727085914, 100.31469871148825",2,,P.050 - JELUTONG,5.39475873,0,04,1,0,40088,1776297600000,DTL BATU FERRINGGI SEK. 1,,N.31,GENTARI GREEN MOBILITY SDN. BHD.,070441001,2,P.050,,PULAU PINANG,N.31 - BATU LANCANG,CLINIC V-CARE,LA 12/1/16/2178 (D-EVCS),DTL,TIMOR LAUT,120,27/1/2026 - 26/1/2036,220,2,100.31469871100006,5.394758727000067
,JALAN GOTTLIEB,SEK. 1,,,"MBPP JALAN GOTTLIEB, GEORGE TOWN, 10350 DAERAH TIMOR LAUT, PULAU PINANG",,1,100.30157614,07,1933,"5.432142956240093, 100.30157614161524",2,,P.048 - BUKIT BENDERA,5.43214296,0,04,1,0,40086,1776297600000,DTL BATU FERRINGGI SEK. 1,,N.25,GENTARI GREEN MOBILITY SDN. BHD.,070441001,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,(MBPP) JALAN GOTTLIEB,LA 12/1/16/2180 (D-EVCS),DTL,TIMOR LAUT,60,27/1/2026 - 26/1/2036,221,1,100.30157614200004,5.432142956000064
,LEBUHRAYA JELUTONG,SEK. 1,,JELUTONG,"CENTRAL PARK CONDOMINIUM, BANDAR JELUTONG, SEKSYEN 3 TIMOR LAUT 11600 PULAU PINANG",,2,100.30815513,07,1940,"5.3882219488434675, 100.30815513240918",0,TAMAN JELUTONG,P.050 - JELUTONG,5.38822195,2,04,1,2,40070,1776297600000,DTL BATU FERRINGGI SEK. 1,,N.31,BLH ECOENERGY SDN BHD,070441001,2,P.050,,PULAU PINANG,N.31 - BATU LANCANG,CENTRAL PARK CONDOMINIUM,LA 12/1/16/2218 (D-EVCS),DTL,TIMOR LAUT,14,26/2/2026 - 25/2/2036,222,0,100.30815513200008,5.388221949000069
LOT 583,BUKIT RIA,SEK. 1,,BATU FERRINGI,"SEAVIEW GARDEN, LOT 583, BLOCK 10 & 12, JALAN BUKIT RIA, BANDAR BATU FERRINGGI, 11100 TIMOR LAUT, PULAU PINANG",,2,100.27290055,07,1949,"5.4755826172856885, 100.27290055224314",0,MOUNT PLEASURE,P.048 - BUKIT BENDERA,5.47558262,2,04,1,2,40069,1776297600000,DTL BATU FERRINGGI SEK. 1,,N.22,CHARGE N GO SDN BHD,070441001,2,P.048,BLOCK 10 & 12,PULAU PINANG,N.22 - TANJONG BUNGA,SEAVIEW GARDEN,LA 12/1/16/2170 (D-EVCS),DTL,TIMOR LAUT,44,16/2/2026 - 15/2/2036,223,0,100.27290055200007,5.475582617000043
